table,rows_in_prod,rows_in_perf
admin_user,395,4
bulk_license_upload_log,0,0
canvas_institution,3492,11644
consumer_contact_details,309,76
core_account,355186,922033
course,19388,26264
course_content_export_job,1361,17204
course_section,20909,30329
course_section_enrollment,102586,1425296
course_setup_job,22426,34843
databasechangelog,383,373
databasechangeloglock,1,1
ecore_mq_log,178099,1314237
external_course,3471,6820
external_course_section,4884,12
external_course_section_enrollment,85247,13
external_user,69412,9
external_user_license_map,6720,8
institution,14112,14050
institution_dupe,0,0
institution_license_map,54,366
license,179686,308170
license_notification,2948,0
lms_api_provider,12,0
login_activation,171052,1035610
lti_consumer,1855,2543
reset_password_link,34294,244
shedlock,5,5
term,25,5
timezone_map,157,156
transaction_log,9675,501677
user_institution_map,361006,1035658
user_license_map,172912,307796
user_login,370728,1035648
user_profile,369913,1035644
vitalsource_transaction_log,100200,294870
vitalsource_user,165714,302043
