date,regs
2019-08-01,302
2019-08-02,187
2019-08-03,131
2019-08-04,178
2019-08-05,496
2019-08-06,431
2019-08-07,366
2019-08-08,424
2019-08-09,291
2019-08-10,167
2019-08-11,233
2019-08-12,579
2019-08-13,762
2019-08-14,971
2019-08-15,1205
2019-08-16,1147
2019-08-17,880
2019-08-18,1157
2019-08-19,5330
2019-08-20,6605
2019-08-21,7478
2019-08-22,6536
2019-08-23,4328
2019-08-24,2582
2019-08-25,4498
2019-08-26,15665
2019-08-27,17300
2019-08-28,15362
2019-08-29,11095
2019-08-30,5674
2019-08-31,2794
2019-09-01,3298
2019-09-02,5260
2019-09-03,9899
2019-09-04,11401
2019-09-05,9919
2019-09-06,6655
2019-09-07,3319
2019-09-08,4771
2019-09-09,8537
2019-09-10,7044
2019-09-11,5733
2019-09-12,4264
2019-09-13,2729
2019-09-14,1591
2019-09-15,2389
2019-09-16,3723
2019-09-17,3111
2019-09-18,2743
2019-09-19,2364
2019-09-20,1688
2019-09-21,944
2019-09-22,1394
2019-09-23,2129
2019-09-24,1957
2019-09-25,1904
2019-09-26,2008
2019-09-27,1597
2019-09-28,962
2019-09-29,1122
2019-09-30,1962
2019-10-01,1655
2019-10-02,1376
2019-10-03,1214
2019-10-04,942
2019-10-05,458
2019-10-06,571
2019-10-07,987
2019-10-08,895
2019-10-09,672
2019-10-10,666
2019-10-11,515
2019-10-12,283
2019-10-13,392
2019-10-14,687
2019-10-15,660
2019-10-16,675
2019-10-17,576
2019-10-18,509
2019-10-19,282
2019-10-20,410
2019-10-21,778
2019-10-22,718
2019-10-23,581
2019-10-24,187
